external_course_key,course_id,course_name
2163-01316,2016-SPRI-TRICI-CPT_S-543-1316-LEC,2016-SPRI-TRICI-CPT_S-543-1316-LEC
2163-03974,2016-SPRI-PULLM-CPT_S-543-3974-LEC,2016-SPRI-PULLM-CPT_S-543-3974-LEC
2163-01315,2016-SPRI-TRICI-CPT_S-443-1315-LEC,2016-SPRI-TRICI-CPT_S-443-1315-LEC
2163-03973,2016-SPRI-PULLM-CPT_S-443-3973-LEC,2016-SPRI-PULLM-CPT_S-443-3973-LEC
2163-05718,2016-SPRI-PULLM-LND_ARCH-450-5718-LEC,2016-SPRI-PULLM-LND_ARCH-450-5718-LEC
2163-09551,2016-SPRI-PULLM-MUS-420-9551-IND,2016-SPRI-PULLM-MUS-420-9551-IND
2163-09550,2016-SPRI-PULLM-MUS-320-9550-IND,2016-SPRI-PULLM-MUS-320-9550-IND
2163-05758,2016-SPRI-PULLM-AERO-499-5758-IND,2016-SPRI-PULLM-AERO-499-5758-IND
2163-04919,2016-SPRI-PULLM-ANIM_SCI-314-4919-LEC,2016-SPRI-PULLM-ANIM_SCI-314-4919-LEC
2163-06902,2016-SPRI-VANCO-ANTH-562-6902-LEC,2016-SPRI-VANCO-ANTH-562-6902-LEC
2163-03925,2016-SPRI-PULLM-ANTH-562-3925-LEC,2016-SPRI-PULLM-ANTH-562-3925-LEC
2163-04155,2016-SPRI-PULLM-AMDT-315-4155-LAB,2016-SPRI-PULLM-AMDT-315-4155-LAB
2163-04154,2016-SPRI-PULLM-AMDT-315-4154-LEC,2016-SPRI-PULLM-AMDT-315-4154-LEC
2163-06925,2016-SPRI-VANCO-ACCTG-496-6925-LEC,2016-SPRI-VANCO-ACCTG-496-6925-LEC
2163-07341,2016-SPRI-ONLIN-PSYCH-401-7341-LEC,2016-SPRI-ONLIN-PSYCH-401-7341-LEC
2163-06782,2016-SPRI-VANCO-PSYCH-401-6782-LEC,2016-SPRI-VANCO-PSYCH-401-6782-LEC
2163-10154,2016-SPRI-VANCO-PSYCH-401-10154-LEC,2016-SPRI-VANCO-PSYCH-401-10154-LEC
2163-06240,2016-SPRI-PULLM-PSYCH-401-6240-LEC,2016-SPRI-PULLM-PSYCH-401-6240-LEC
2163-03629,2016-SPRI-PULLM-PSYCH-401-3629-LEC,2016-SPRI-PULLM-PSYCH-401-3629-LEC
2163-03628,2016-SPRI-PULLM-PSYCH-401-3628-LEC,2016-SPRI-PULLM-PSYCH-401-3628-LEC
